directories in the tree            : 407
directories carrying at least one file : 324
directories carrying none          : 83
files                              : 9641
bytes                              : 2925489709

  directory                                             files          bytes       share
  dlc/DarkFantasyCharacterPack/img/characters              10         531235     0.0182 %
  dlc/BaseResource/img/sv_actors                           21         522494     0.0179 %
  dlc/parallax_Resource_Pack/sample_project/data           39         474155     0.0162 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/Female     24         463745     0.0159 %
  dlc/Modern_Generator/parts/Generator/SV/Male             70         451052     0.0154 %
  Generator/TV/Male                                       382         445876     0.0152 %
  Generator/Variation/Male                                207         430539     0.0147 %
  Generator/TV/Female                                     328         419793     0.0143 %
  tutorial-osx/TutorialGui.app/Contents/MacOS               1         417152     0.0143 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/Male     23         397310     0.0136 %
  dlc/KadokawaPlugins_New/img/slotmachine                  10         368389     0.0126 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/slotmachine     10         368389     0.0126 %
  dlc/Sangokushi/faces                                      2         368271     0.0126 %
  Generator/Variation/Female                              177         339950     0.0116 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtPrintSupport.framework/Versions/5      1         322784     0.0110 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/enemies      4         303054     0.0104 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/enemies      4         303054     0.0104 %
  dlc/Modern_Generator/parts/Generator/Face/Male           78         282039     0.0096 %
  QtGraphicalEffects                                       26         274436     0.0094 %
  dlc/Modern_Generator/parts/Generator/Face/Female         83         258667     0.0088 %
  dlc/DarkFantasyCharacterPack/img/faces                    1         247734     0.0085 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/characters      5         245687     0.0084 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/characters      5         245687     0.0084 %
  QtQuick.2                                                 3         239074     0.0082 %
  dlc/KadokawaPlugins                                      38         236076     0.0081 %
  Generator/Face/Kid                                       14         234856     0.0080 %
  NewData_FantasyJP/data                                    9         221306     0.0076 %
  NewData_FantasyEN/data                                    9         216529     0.0074 %
  QtQuick/Dialogs                                           3         209959     0.0072 %
  tutorial-osx/TutorialGui.app/Contents/PlugIns/bearer      2         181504     0.0062 %
  dlc/RPGmakerWeb_plugins/Yami                             10         181352     0.0062 %
  Generator/Variation/Kid                                   9         177319     0.0061 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/sv_actors      6         174738     0.0060 %
  dlc/Modern_Generator/parts/Generator/TV/Female           76         168965     0.0058 %
  dlc/Modern_Generator/parts/Generator/TV/Male             70         159404     0.0054 %
  dlc/KadokawaPlugins_New/js/plugins                        5         158456     0.0054 %
  dlc/Sangokushi/sv_actors                                 10         148647     0.0051 %
  dlc/RPGmakerWeb_plugins/Shaz                             10         132610     0.0045 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Character Gen Parts      9         127525     0.0044 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/sv_actors      4         113724     0.0039 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/sv_actors      4         113724     0.0039 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/sv_actors      4         113724     0.0039 %
  dlc/RPGmakerWeb_plugins/Galenmereth                       6         107806     0.0037 %
  Generator/SV/Kid                                          8         107132     0.0037 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/People 2-7      6         105079     0.0036 %
  Generator                                                 1         101135     0.0035 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/People 3-5      6         100812     0.0034 %
  QtQuick/PrivateWidgets                                    3         100543     0.0034 %
  Generator/TV/Kid                                         10         100482     0.0034 %
  Generator/TVD/Male                                      232          96197     0.0033 %
  Help/inc/js/lib                                           1          95786     0.0033 %
  Generator/TVD/Female                                    226          95407     0.0033 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/js/plugins      5          94766     0.0032 %
  dlc/Modern_Generator/parts/Generator/TVD/Female          76          91293     0.0031 %
  dlc/Magic_and_SFPack(for_v1.6)/Resource/js/plugins        4          90525     0.0031 %
  qmltooling                                                2          87040     0.0030 %
  dlc/RPG Maker Freebies/Thernz - RMXP Grappler 1/Generator/TV      4          85729     0.0029 %
  dlc/Modern_Generator/parts/Generator/TVD/Male            70          85015     0.0029 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/js/plugins      8          82606     0.0028 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/js/plugins      9          81216     0.0028 %
  dlc/DarkFantasyCharacterPack/js                           1          80469     0.0028 %
  dlc/Modern_Generator/parts/Generator/Variation/Female     37          80195     0.0027 %
  dlc/parallax_Resource_Pack/sample_project/js/plugins      4          78976     0.0027 %
  NewData/js/plugins                                       10          78155     0.0027 %
  bearer                                                    2          77824     0.0027 %
  tutorial-win/bearer                                       2          77824     0.0027 %
  dlc/Modern_Generator                                      2          74910     0.0026 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/icon         1          72778     0.0025 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/icon      1          72778     0.0025 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/icon        1          72778     0.0025 %
  dlc/parallax_Resource_Pack/sample_project/icon            1          72778     0.0025 %
  NewData/icon                                              1          72778     0.0025 %
  nwjs-lnx/icon                                             1          72778     0.0025 %
  nwjs-win/www/icon                                         1          72778     0.0025 %
  nwjs-win-test/www/icon                                    1          72778     0.0025 %
  dlc/Modern_Generator/parts/Generator/Variation/Male      34          70991     0.0024 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Facesets      1          69856     0.0024 %
  QtGraphicalEffects/private                                8          68542     0.0023 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/TVD/People 2-2      4          63873     0.0022 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/TVD/Actor 2-3      4          63582     0.0022 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/TVD/Evil 1-1      4          63033     0.0022 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/TVD/People 3-5      4          62596     0.0021 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/TVD/People 2-7      4          62409     0.0021 %
  dlc/Sangokushi/characters                                 3          61998     0.0021 %
  QtQuick/Layouts                                           3          58380     0.0020 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Plugins      6          55507     0.0019 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Plugins/Archeia_Steamworks/js/plugins      1          51120     0.0017 %
  dlc/RPG Maker Freebies/Thernz - RMXP Grappler 1           3          49088     0.0017 %
  Qt/labs/folderlistmodel                                   3          44723     0.0015 %
  tutorial-osx/TutorialGui.app/Contents/PlugIns/printsupport      1          38096     0.0013 %
  Generator/TVD/Kid                                         8          37791     0.0013 %
  dlc/RPG Maker Freebies/Thernz - RMXP Grappler 1/Generator/TVD      2          36670     0.0013 %
  QtQuick/Dialogs/Private                                   2          35456     0.0012 %
  dlc/KadokawaPlugins_New/additional                        1          31938     0.0011 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/Generator Parts/TVD/Mage08      2          31199     0.0011 %
  QtWebEngine/experimental                                  2          29282     0.0010 %
  iconengines                                               1          29184     0.0010 %
  tutorial-win/iconengines                                  1          29184     0.0010 %
  QtWebEngine                                               3          29063     0.0010 %
  dlc/parallax_Resource_Pack/sample_project/img/sv_actors      1          28889     0.0010 %
  dlc/DarkFantasyCharacterPack/system                       3          28026     0.0010 %
  QtQuick/Window.2                                          3          22933     0.0008 %
  Help/parts                                                2          22208     0.0008 %
  Qt/labs/settings                                          3          22107     0.0008 %
  QtWebView                                                 3          19420     0.0007 %
  Help/inc/css                                              1          17444     0.0006 %
  dlc/Sangokushi                                            1          16645     0.0006 %
  dlc/RPGmakerWeb_plugins/Zalerinian                        1          16067     0.0005 %
  QtWebEngine/UIDelegates                                   8          14721     0.0005 %
  dlc/RPGmakerWeb_plugins/Neonblack                         2          13549     0.0005 %
  tutorial-osx/TutorialGui.app/Contents/_CodeSignature      1          10122     0.0003 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics/System      1           8859     0.0003 %
  dlc/RPG Maker Freebies/RPG Maker MV Patches               2           8590     0.0003 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources        3           7872     0.0003 %
  dlc/KadokawaPlugins_New/img/system                        1           6776     0.0002 %
  dlc/Modern_Generator/modern_body/Generator/TV/Female      2           6611     0.0002 %
  dlc/Modern_Generator/modern_body/Generator/TV/Male        2           6349     0.0002 %
  dlc/Modern_Generator/original_body/Generator/TV/Female      2           5550     0.0002 %
  dlc/Modern_Generator/original_body/Generator/TV/Male      2           5490     0.0002 %
  dlc/Magic_and_SFPack(for_v1.6)/Resource/glsl              3           4812     0.0002 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/glsl        3           4812     0.0002 %
  dlc/KadokawaPlugins_New                                   1           3567     0.0001 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Graphics      1           3470     0.0001 %
  dlc/RPGmakerWeb_plugins/Zeriab                            1           2836     0.0001 %
  dlc/RPGmakerWeb_plugins                                   1           2420     0.0001 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtCore.framework/Versions/5/_CodeSignature      1           2318     0.0001 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtGui.framework/Versions/5/_CodeSignature      1           2318     0.0001 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtNetwork.framework/Versions/5/_CodeSignature      1           2318     0.0001 %
